,0
2019-09-09 00:00:00,248.68091826495535
2019-09-09 01:00:00,236.5692893779829
2019-09-09 02:00:00,244.05411164299417
2019-09-09 03:00:00,246.2757734085456
2019-09-09 04:00:00,233.46266896398646
2019-09-09 05:00:00,224.97889063407763
2019-09-09 06:00:00,295.6129453345376
2019-09-09 07:00:00,432.1036865933186
2019-09-09 08:00:00,599.1327881369457
2019-09-09 09:00:00,670.0795472754794
2019-09-09 10:00:00,692.259825460924
2019-09-09 11:00:00,673.681601911111
2019-09-09 12:00:00,621.1832222831013
2019-09-09 13:00:00,656.7642423479246
2019-09-09 14:00:00,679.7283788187971
2019-09-09 15:00:00,691.5709605743014
2019-09-09 16:00:00,647.5277917534523
2019-09-09 17:00:00,577.8797491421844
2019-09-09 18:00:00,548.0279338729899
2019-09-09 19:00:00,532.7419159797491
2019-09-09 20:00:00,531.0153139075984
2019-09-09 21:00:00,538.1539114981276
2019-09-09 22:00:00,510.1870659896089
2019-09-09 23:00:00,480.3341233318094
2019-09-10 00:00:00,402.542608160776
2019-09-10 01:00:00,357.8613596128477
2019-09-10 02:00:00,329.42035715869633
2019-09-10 03:00:00,294.25752360333337
2019-09-10 04:00:00,262.3570047391533
2019-09-10 05:00:00,242.62875834331237
2019-09-10 06:00:00,258.5772656265525
2019-09-10 07:00:00,398.43557781699064
2019-09-10 08:00:00,568.4422004615456
2019-09-10 09:00:00,631.2350544552551
2019-09-10 10:00:00,668.2887148651824
2019-09-10 11:00:00,684.9021044695644
2019-09-10 12:00:00,615.2470274841564
2019-09-10 13:00:00,678.8823749607602
2019-09-10 14:00:00,664.8627572013735
2019-09-10 15:00:00,655.7240583086146
2019-09-10 16:00:00,597.3282816582471
2019-09-10 17:00:00,530.853167014868
2019-09-10 18:00:00,501.4916480264833
2019-09-10 19:00:00,510.11759661400697
2019-09-10 20:00:00,515.2065427995084
2019-09-10 21:00:00,539.8231510874082
2019-09-10 22:00:00,520.0773796434271
2019-09-10 23:00:00,470.37759912750283
2019-09-11 00:00:00,403.318045064437
2019-09-11 01:00:00,358.17073528873135
2019-09-11 02:00:00,324.4933510227758
2019-09-11 03:00:00,299.09259673810817
2019-09-11 04:00:00,271.15083000071326
2019-09-11 05:00:00,247.46905468119755
2019-09-11 06:00:00,267.22375504790716
2019-09-11 07:00:00,396.7995968623683
2019-09-11 08:00:00,570.2591282550904
2019-09-11 09:00:00,614.5273688131458
2019-09-11 10:00:00,647.2634680375254
2019-09-11 11:00:00,681.56369780806
2019-09-11 12:00:00,610.310326580375
2019-09-11 13:00:00,671.9336769897868
2019-09-11 14:00:00,690.9143590205642
2019-09-11 15:00:00,676.7668307452961
2019-09-11 16:00:00,618.5074308575842
2019-09-11 17:00:00,550.0860208663119
2019-09-11 18:00:00,535.7509686857958
2019-09-11 19:00:00,537.6800394142018
2019-09-11 20:00:00,517.1318849570454
2019-09-11 21:00:00,531.7955272344819
2019-09-11 22:00:00,494.83339946561773
2019-09-11 23:00:00,446.2461476479595
2019-09-12 00:00:00,365.3420829122852
2019-09-12 01:00:00,331.737838458977
2019-09-12 02:00:00,307.44652598044024
2019-09-12 03:00:00,277.07876628680526
2019-09-12 04:00:00,269.7233907656281
2019-09-12 05:00:00,262.2193322742761
2019-09-12 06:00:00,294.37485032289726
2019-09-12 07:00:00,417.61666821033884
2019-09-12 08:00:00,578.6531876409779
2019-09-12 09:00:00,636.9988431559441
2019-09-12 10:00:00,676.6603249394133
2019-09-12 11:00:00,716.5828086825742
2019-09-12 12:00:00,669.3193559141637
2019-09-12 13:00:00,695.1163972227414
2019-09-12 14:00:00,708.7467386407341
2019-09-12 15:00:00,703.2815555748576
2019-09-12 16:00:00,646.0804328983463
2019-09-12 17:00:00,586.8071767355881
2019-09-12 18:00:00,546.7807572515406
2019-09-12 19:00:00,566.9293780166366
2019-09-12 20:00:00,545.9652809250448
2019-09-12 21:00:00,551.8520239215634
2019-09-12 22:00:00,529.3955091394256
2019-09-12 23:00:00,476.4802656064537
2019-09-13 00:00:00,392.09826606249914
2019-09-13 01:00:00,343.73988913785365
2019-09-13 02:00:00,311.9242664669938
2019-09-13 03:00:00,305.5708707813318
2019-09-13 04:00:00,297.11426081131674
2019-09-13 05:00:00,286.80341449580453
2019-09-13 06:00:00,330.03656711436355
2019-09-13 07:00:00,438.5586814188807
2019-09-13 08:00:00,595.4453985979718
2019-09-13 09:00:00,667.2693397461594
2019-09-13 10:00:00,701.988908871264
2019-09-13 11:00:00,718.4915632510256
2019-09-13 12:00:00,660.3564264839658
2019-09-13 13:00:00,694.8132333014808
2019-09-13 14:00:00,676.0852063724185
2019-09-13 15:00:00,647.7246272618692
2019-09-13 16:00:00,608.911779473814
2019-09-13 17:00:00,523.2092061174543
2019-09-13 18:00:00,510.7179653956911
2019-09-13 19:00:00,498.18822094747054
2019-09-13 20:00:00,477.7961358988424
2019-09-13 21:00:00,458.384947176272
2019-09-13 22:00:00,440.32955206984167
2019-09-13 23:00:00,402.93497201816893
2019-09-14 00:00:00,317.41875756704985
2019-09-14 01:00:00,298.9176761857599
2019-09-14 02:00:00,268.7340124457397
2019-09-14 03:00:00,257.1326737925762
2019-09-14 04:00:00,240.9095678878552
2019-09-14 05:00:00,207.67649348437604
2019-09-14 06:00:00,193.61483490248904
2019-09-14 07:00:00,206.77598487253803
2019-09-14 08:00:00,255.0440606535775
2019-09-14 09:00:00,296.5420022902931
2019-09-14 10:00:00,296.915677981239
2019-09-14 11:00:00,298.63175138596756
2019-09-14 12:00:00,285.51236019629175
2019-09-14 13:00:00,280.641670571011
2019-09-14 14:00:00,265.8882092327438
2019-09-14 15:00:00,256.5399876008278
2019-09-14 16:00:00,233.87209020913818
2019-09-14 17:00:00,227.0043545073986
2019-09-14 18:00:00,220.53089149914086
2019-09-14 19:00:00,211.44130630008416
2019-09-14 20:00:00,210.166737035717
2019-09-14 21:00:00,222.7950781928133
2019-09-14 22:00:00,222.80613464756718
2019-09-14 23:00:00,216.72449062144392
2019-09-15 00:00:00,203.3864450164268
2019-09-15 01:00:00,201.6918918492306
2019-09-15 02:00:00,200.83437002527543
2019-09-15 03:00:00,204.28480715150818
2019-09-15 04:00:00,202.00879160458544
2019-09-15 05:00:00,185.02806591365507
2019-09-15 06:00:00,186.10749198705076
2019-09-15 07:00:00,187.87781712502112
2019-09-15 08:00:00,206.10713699542055
2019-09-15 09:00:00,222.54259333884008
2019-09-15 10:00:00,226.0988525060693
2019-09-15 11:00:00,233.25238526371368
2019-09-15 12:00:00,221.8912219469828
2019-09-15 13:00:00,217.0373747180998
2019-09-15 14:00:00,233.23234035539835
2019-09-15 15:00:00,237.380254616085
2019-09-15 16:00:00,225.9238988991873
2019-09-15 17:00:00,228.5508849488341
2019-09-15 18:00:00,221.0245011077631
2019-09-15 19:00:00,215.80842787189437
2019-09-15 20:00:00,220.15320326540638
2019-09-15 21:00:00,236.3019020495963
2019-09-15 22:00:00,226.84783796165678
2019-09-15 23:00:00,214.27320918050626
2019-09-16 00:00:00,200.2370618601105
2019-09-16 01:00:00,206.14035568611027
2019-09-16 02:00:00,204.58368592556005
2019-09-16 03:00:00,203.33002870302204
2019-09-16 04:00:00,201.02211540155068
2019-09-16 05:00:00,216.40567188651588
2019-09-16 06:00:00,288.3088997258742
2019-09-16 07:00:00,437.71739457996154
2019-09-16 08:00:00,580.6602997802431
2019-09-16 09:00:00,650.5330964641132
2019-09-16 10:00:00,651.110720894431
2019-09-16 11:00:00,651.7363131858592
2019-09-16 12:00:00,601.0884993037198
2019-09-16 13:00:00,626.3212229243356
2019-09-16 14:00:00,646.266451561899
2019-09-16 15:00:00,628.7208789390762
2019-09-16 16:00:00,588.7665228695878
2019-09-16 17:00:00,541.2087827939247
2019-09-16 18:00:00,508.99780486696113
2019-09-16 19:00:00,517.4559582770999
2019-09-16 20:00:00,538.0264046167111
2019-09-16 21:00:00,571.1656295881805
2019-09-16 22:00:00,552.0200272287356
2019-09-16 23:00:00,495.3030361184253
2019-09-17 00:00:00,376.4782649376547
2019-09-17 01:00:00,342.46800641593404
2019-09-17 02:00:00,326.96469510267434
2019-09-17 03:00:00,315.14640894684715
